Nr.;Vorname;Nachname;Geburtsdatum
124;Edwine;Riedle;17.11.1914
125;Hanni;Hubrich;16.05.1973
126;Linde;Jennings;12.03.2004
127;Isidor;Thalheim;30.05.2019
128;Karl;Französisch;17.10.1919
129;Jonny;Dießner;26.05.1950
130;Folkhardt;Hasenstab;11.02.1927
131;Theresia;Asbeck;09.07.1927
132;Evelyn;Kegler;27.12.2014
133;Idamarie;Ammer;08.12.2021
134;Adeline;Gohr;26.11.1972
135;Hardy;Kammler;13.02.1944
136;Elfrieda;Hübl;12.03.1966
137;Helgert;Bechtold;11.05.1948
138;Sigfried;Hintzen;09.12.1974
139;Sybil;Erol;23.01.1941
140;Elmar;Zeeb;14.02.1966
141;Leonardo;Trautvetter;16.07.1922
142;Marli;Spiller;21.01.2010
143;Ferdinande;Welle;07.05.1987
144;Jonny;Ziebell;26.12.1984
145;Hannelie;Nissen;13.10.1968
146;Alfinus;Schäfer;03.07.1984
147;Edeltraude;Alberti;26.09.1982
148;Ingfried;Glover;28.12.1980
149;Annkathrin;Ott;31.12.1930
150;Hoimar;Bretz;14.08.2001
151;Dorle;Leitner;17.03.1978
152;Aylin;Hunke;07.10.1907
153;Griseldis;Gonsior;17.09.1998
154;Marlies;Petrick;09.08.1975
155;Donat;Klemt;22.05.1911
156;Friedhard;Davis;19.12.1910
157;Patrick;Berger;04.03.1929
158;Burga;Marshall;02.10.1911
159;Roswita;Hardt;27.10.1903
160;Adelheid;Lindenau;15.01.1993
161;Marvin;Hüttig;02.11.1906
162;Anneros;Matuschek;17.03.2014
163;Jo;Jungen;19.05.1931
164;Ingomar;Lüke;05.04.1909
165;Wiglaf;Rosenfeld;24.11.1971
166;Jobst;Lies;10.08.1954
167;Karlheiner;Persch;23.07.1989
168;Joelina;Klimpel;21.02.1926
169;Diethart;Kittler;04.08.1961
170;Bodo;Muth;11.03.1936
171;Philipp;Kleimann;26.06.2021
172;Dana;Berges;03.10.1933
173;Godelind;Zielinski;18.07.1946
174;Sieghelm;Konietzko;01.01.2001
175;Gerta;Manhart;11.01.1905
176;Antonie;Godau;16.07.2024
177;Tassilo;Bruckner;17.08.1952
178;Heinzdieter;Baltzer;29.12.1989
179;Margreth;Kistler;15.02.1908
180;Diethelm;Hülsen;11.06.1978
181;Uwe;Lüttge;08.11.1902
182;Gerda;Sarikaya;16.09.1932
183;Boto;Glienke;09.08.1944
184;Lilli;Greuel;08.06.2008
185;Claudius;Knauer;12.03.2025
186;Elselore;Göller;02.08.1971
187;Erdmuthe;Caspari;29.05.2004
188;Kurd;Löber;21.08.1980
189;Alphonsus;Graupner;31.05.1985
190;Dorchen;Fengler;14.08.1970
191;Freimut;Fuhrmann;15.01.1940
192;Siegenot;Rinn;27.01.1973
193;Hildetraud;Knoth;04.03.1987
194;Arnd;Grob;29.09.1968
195;Ilsegard;Rubin;20.09.2016
196;Roseliese;Glaab;22.11.1907
197;Annedoris;Möbus;15.04.1957
198;Liselore;Grossmann;26.11.1980
199;Wennemar;Hornemann;08.02.2016
200;Marielene;Sitzmann;28.02.1999
201;Siegberta;Keim;23.02.2000
202;Birghild;Kitzmann;11.02.2000
203;Maren;Bornschein;11.04.1943
204;Bernd;Hetzel;02.02.2015
205;Eddi;Fäth;16.12.2009
206;Sigwart;Goldschmidt;15.11.2020
207;Joschua;Klöcker;30.08.1992
208;Hadubert;Bücher;04.03.2006
209;Wilmar;Galonska;11.02.1943
210;Annagret;Rödel;25.11.1942
211;Sigunde;Jöst;25.03.1906
212;Marko;Brinkhoff;24.10.1942
213;Ursula;Hausdorf;08.04.2013
214;Alina;Grützmacher;25.05.1918
215;Friedmar;Stamm;10.07.1999
216;Biggi;Gottschalk;07.11.1911
217;Sidonie;Degner;30.06.1998
218;Käte;Rieg;15.12.1938
219;Theodeline;Pilger;27.07.1902
220;Alphonsus;Penning;22.12.1950
221;Margolf;Wigger;09.06.1992
222;Isbert;Seeber;04.02.1938
223;Jochen;Lang;07.05.1930
224;Edeltraut;Eisenblätter;17.03.1942
225;Annedörte;Bad;30.03.2025
226;Traugott;Faul;05.05.1924
227;Valentine;Heße;31.12.1925
228;Scholastika;Gerlach;28.08.1991
229;Anna;Beckers;15.08.1953
230;Toralf;Scheid;16.12.1976
231;Siegrid;Ellinghaus;25.02.2010
232;Huldine;Kossmann;20.02.1957
233;Rosetraut;Fürstenau;01.04.1919
234;Iven;Mahlberg;07.05.2010
235;Wilbert;Krüger;08.12.1998
236;Raik;Kruck;24.11.1947
237;Othmar;Holzmann;07.10.1949
238;Kristina;Topal;31.07.1951
239;Sindy;Adkins;30.07.1980
240;Erdfried;Willig;30.01.1907
241;Yannik;Petrat;22.03.2008
242;Bringfried;Schiffers;19.08.1917
243;Susi;Steinbauer;29.07.2008
244;Carina;Sauter;07.05.1995
245;Friedhard;Zintl;14.06.1986
246;Heinzdieter;Wiegel;02.11.1961
247;Hartger;Würfel;28.04.1981
248;Gertmund;Bartelt;24.04.1996
249;Marielene;Spiekermann;10.05.1907
250;Helma;Aldinger;08.02.1903
251;Andy;Zens;22.11.1987
252;Annik;Späth;18.08.2010
253;Elia;Wang;15.09.2022
254;Babett;Prieß;13.06.1919
255;Marilu;Ellermann;26.08.1949
256;Patricia;Sönnichsen;08.03.1947
257;Leandro;Markowski;05.12.1948
258;Fabian;Damerow;10.05.1945
259;Tristan;Bäumer;18.02.1949
260;Steve;Heuberger;23.08.1960
261;Adrian;Deiß;11.12.1951
262;Tilla;Eisenhardt;05.06.1988
263;Veronika;Glienke;13.03.1974
264;Eckehardt;Malcher;07.06.2014
265;Jürgen;Dopfer;28.04.1934
266;Renilde;Rüth;30.11.2014
267;Freddy;Gabriel;05.11.2007
268;Achaz;Wille;18.01.1944
269;Isabella;Diem;29.05.1996
270;Heinzwerner;Steininger;02.08.1943
271;Irmin;Schillings;15.07.2021
272;Caroline;Roters;07.11.1984
273;Kaspar;Arslan;14.06.1958
274;Fabienne;Pavlovic;21.04.1910
275;Annetrud;Bailey;23.03.1992
276;Juli;Knape;28.09.1954
277;Margarete;Bokelmann;14.03.1911
278;Bertlinde;Burton;17.02.1981
279;Loremarie;Gruhn;04.12.1926
280;Hanskarl;Taube;22.07.1921
281;Meta;Lasch;10.06.1915
282;Sepp;Olthoff;11.08.1923
283;Ortwin;Colditz;13.08.2018
284;Anneros;Krell;17.09.1923
285;Heyo;Tammen;22.05.1963
286;Dorchen;Wiegert;10.04.1957
287;Willhart;Dettmann;14.07.1936
288;Josef;Kalmbach;11.07.1905
289;Hetty;Austermann;13.12.1992
290;Sascha;Oschmann;14.02.1989
291;Rosegret;Erber;01.07.1909
292;Werngard;Dichtl;05.02.1922
293;Klothildis;Gehlert;04.12.2014
294;Hildeburg;Schirra;28.10.1972
295;Burkhard;Püschel;31.08.1982
296;Yasmin;Menz;22.11.2008
297;Wilfried;Gombert;27.04.1940
298;Bernhart;Ohl;15.10.1963
299;Arist;Uhlenbrock;13.01.1967
300;Arne;Witschel;22.01.1971
301;Rochus;Recktenwald;25.10.1933
302;Kathrin;Schneid;30.11.2010
303;Erni;Spranger;03.10.1963
304;Robby;Luhmann;21.09.1938
305;Burckhardt;Kohnle;19.06.1972
306;Ludwiga;Nölke;16.01.1968
307;Oslinde;Schreck;29.05.2017
308;Susanne;Aßmann;06.12.1954
309;Janett;Staub;20.06.2012
310;Willmar;Reed;01.12.1925
311;Myrta;Wallbaum;05.07.2002
312;Gertraute;Gensch;20.06.1922
313;Aline;Giebel;01.03.2006
314;Heinzkarl;Lehnhardt;29.01.2013
315;Eitelbert;Riethmüller;09.04.1950
316;Harry;Classen;29.12.1930
317;Ullrich;Tack;15.11.1930
318;Albin;Wildt;27.08.1966
319;Irmhilde;Eirich;13.07.1986
320;Ingunde;Harder;01.04.1905
321;Traudlinde;Borth;13.04.2000
322;Gerda;Eber;05.09.1994
323;Gitti;Deger;14.03.2000
324;Annetraude;Hankel;20.08.1954
325;Curd;Mitterer;22.04.1975
326;Christoph;Maisch;01.08.2002
327;Vincent;Gruschka;11.01.1961
328;Marielouise;Pollmann;31.03.1961
329;Emmeran;Hölz;11.01.1950
330;Gundhart;Leicher;30.06.1999
331;Anselm;Luber;16.07.1940
332;Hanswolf;Olszewski;08.03.1985
333;Tabea;Holzmüller;03.03.2003
334;Friedegard;Buchmüller;03.05.1966
335;Nike;Wodtke;28.11.1907
336;Wigand;Hübener;21.02.1933
337;Claudius;Albrecht;19.07.1952
338;Dominikus;Wischmann;13.06.1934
339;Delia;Elbers;03.04.1995
340;Anneli;Rathgeb;01.06.2005
341;Lennart;Rieker;22.02.2016
342;Fenja;Graham;12.12.1925
343;Swen;Nübel;12.02.1967
344;Riccardo;Gramsch;09.03.1980
345;York;Davidson;22.11.1926
346;Ali;Lange;20.12.1972
347;Gottfriede;Nienhaus;11.02.1935
348;Antja;Brüggen;15.07.1986
349;Birgitta;Bertz;20.01.1920
350;Fabian;Biener;05.11.1941
351;Tristan;Grandt;10.05.1921
352;Viola;Holle;09.02.1932
353;Cordian;Warkentin;03.05.1991
354;Heintje;Chapman;01.04.1987
355;Alicia;Otte;13.03.1985
356;Mariegret;Wischmann;30.09.1999
357;Jaqueline;Weiher;31.12.2009
358;Jonah;Spiekermann;05.08.1940
359;Helbert;Röckl;23.02.2007
360;Bjarne;Melchert;11.06.1974
361;Luise;Lukas;28.05.1995
362;Julius;Haase;06.05.2017
363;Gertraud;Bösel;04.10.1925
364;Dela;Eppler;27.03.1998
365;Philine;Balzer;03.07.1927
366;Irminfried;Pichler;25.08.1971
367;Arnhild;Worm;18.09.1937
368;Ottheinrich;Belz;06.06.1928
369;Ingunde;Thorn;03.09.1915
370;Mark;Eroglu;31.05.1958
371;Achaz;Kurtz;20.03.1998
372;Wilmar;Jaksch;09.03.1931
373;Heinzkarl;Börner;17.10.2023
374;Irmengild;Runkel;21.04.2003
375;Friedhold;Fichtl;06.03.2000
376;Marlitt;Alt;10.07.1977
377;Irmin;Willer;27.04.2023
378;Conrad;Timpe;21.03.1938
379;Jennifer;Niklas;20.07.1995
380;Editha;Winkelmann;05.12.1949
381;Anneheide;Löffler;12.05.1938
382;Elisa;Ehrmann;14.02.1994
383;Dietram;Hantke;31.07.1933
384;Kordelia;Niedermeier;13.02.2017
385;Jana;Trenz;03.10.1987
386;Arved;Krupp;12.06.1909
387;Leopold;Emig;06.02.2009
388;Karli;Eichinger;29.01.1954
389;Otheinrich;Konradi;01.12.1910
390;Rico;Freyer;26.06.2012
391;Zita;Hütter;25.03.2009
392;Margrit;Scharfe;17.07.1988
393;Mona;Neudeck;02.01.1966
394;Gernulf;Yang;16.04.2022
395;Marius;Hofheinz;13.08.1976
396;Malwine;Domnick;16.06.2013
397;Holle;Krenzer;19.05.1922
398;Hanny;Bultmann;10.07.1907
399;Erdmann;Büchel;06.10.1914
400;Treufried;Sperber;25.02.1968
401;Liesel;Lederer;15.02.1950
402;Dierk;Summer;26.09.1990
403;Friedlenchen;Gutmann;03.08.1971
404;Edeltrud;Gentner;10.12.1928
405;Dora;Schweda;26.12.1904
406;Katrin;Streich;30.12.1939
407;Haimo;Ettl;01.09.2010
408;Didi;Löhr;01.12.1958
409;Egidius;Berghammer;30.06.1909
410;Frowine;Klopfer;19.08.2001
411;Roselius;Hamm;12.05.1905
412;Trudbert;Höfner;04.09.2023
413;Edgar;Jäkel;06.03.1995
414;Ludwig;Methner;24.05.1974
415;Walburga;Bernd;08.03.2006
416;Heike;Schill;19.01.2007
417;Lottemaria;Staudenmaier;01.11.1973
418;Nanni;Heyse;14.05.2007
419;Germar;Nied;04.02.1902
420;Alex;Krogmann;27.08.1933
421;Wigbert;Selent;16.03.1983
422;Roselius;Hettich;05.01.1934
423;Kornelius;Geldmacher;12.11.1916
424;Edeltrud;Germann;21.11.1909
425;Bodo;Schedlbauer;16.07.1911
426;Irmo;Scherer;05.07.1972
427;Kathrein;Märkl;01.04.1983
428;Irmin;Simons;19.02.1948
429;Christhard;Poth;26.09.1976
430;Bernfried;Richters;07.06.1913
431;Stina;Weiske;29.08.1938
432;Dorothea;Tautz;19.11.1932
433;Heideliese;Dams;18.08.2022
434;Korbinian;Bittermann;25.10.1923
435;Cora;Bahr;26.08.1902
436;Karlhans;Körber;22.11.1978
437;Ishild;Sonnenschein;06.04.1980
438;Gunda;Cohrs;16.07.1961
439;Gina;Cinar;14.12.2002
440;Luitpold;Feser;07.09.1944
441;Freiwald;Knüpfer;19.02.1959
442;Herbert;Castillo;02.04.1967
443;Melitta;Lauer;05.08.2013
444;Telse;Mergenthaler;04.09.2007
445;Katrin;Baran;13.07.1992
446;Leona;Prochnow;03.04.1950
447;Ursl;Buscher;27.08.2023
448;Wernher;Eisenhuth;27.08.1922
449;Kimberly;Sari;28.04.1999
450;Mariegret;Deuerling;20.08.1974
451;Arlinde;Moritz;26.03.1982
452;Diethart;Williamson;06.05.1968
453;Mirko;Wienand;18.12.2023
454;Richardis;Krajewski;07.11.1944
455;Othmar;Lohaus;18.07.1989
456;Hilar;Stuke;01.02.1915
457;Harda;Goldschmidt;10.12.1903
458;Torben;Johann;10.12.1962
459;Melitta;Schnitzer;10.01.1908
460;Wilbrand;Markowski;09.01.1923
461;Malwine;Bohnen;29.09.1936
462;Albin;Rist;01.03.1978
463;Lindmar;Caspar;02.05.1906
464;Mara;Kösling;27.07.1943
465;Nicholas;Unglaub;06.12.1976
466;Vincenz;Keinath;27.03.1927
467;Klementine;Reiss;22.10.1964
468;Wiltrude;Eisenreich;01.10.1910
469;Nikodem;Gering;20.01.1920
470;Mayk;Grigo;16.09.1959
471;Herger;Mühleisen;07.08.1928
472;Kora;Bald;10.05.1975
473;Florentius;Wanders;01.05.2016
474;Birglinde;Eckerle;16.12.1959
475;Sofie;Friedemann;04.02.1946
476;Can;Klammer;12.03.1992
477;Nortrun;Kreibich;23.05.1962
478;Rosegret;Oehmichen;14.01.1987
479;Alfhard;Sandmann;04.12.1973
480;Alexander;Nüsse;25.07.1980
481;Albrecht;Papadopoulos;11.07.1947
482;Idamarie;Stutz;17.06.1924
483;Edelbert;Mühlbauer;23.07.2016
484;Erlfried;Hildenbrand;01.03.1947
485;Bringfried;Noske;14.04.2019
486;Carola;Recke;31.07.1988
487;Altfried;Conen;22.03.1988
488;Rafael;Klingberg;26.02.1920
489;Fiona;Brandenburg;25.07.2002
490;Walter;Gleißner;31.05.1993
491;Auguste;Kornmann;07.05.1915
492;Lennox;Hasselberg;24.02.1950
493;Erna;Biller;27.10.2023
494;Verena;Jakubowski;30.03.2023
495;Dietolf;Borges;04.04.2025
496;Sonnhardt;Stengl;22.10.1917
497;Annedorle;Pink;23.05.1947
498;Roselene;Mark;19.01.1938
499;Jeannette;Kielmann;06.05.2006
500;Merlinde;Helwig;07.01.1996
501;Brünhilde;Mehner;31.08.2008
502;Welfhard;Jopp;28.09.1974
503;Ela;Steinhaus;05.04.1943
504;Thies;Schwanke;10.05.1954
505;Inghard;Ehnert;26.03.1968
506;Keno;Marggraf;06.04.1947
507;Lilian;Imhoff;27.08.1923
508;Willy;Schnitzer;25.06.1924
509;Gebhart;Sonne;12.06.1978
510;Sepp;Faltermeier;28.04.1985
511;Sylvelin;Mergner;22.02.1932
512;Bartosch;Männel;01.06.2015
513;Helmtrud;Stoffregen;09.04.1949
514;Margret;Helten;05.12.1960
515;Cindy;Heidinger;16.07.2017
516;Jolanta;Bonin;15.12.1976
517;Swenja;Riepe;08.03.1940
518;Lennox;Engel;11.07.1950
519;Bertwin;Nelles;13.10.1921
520;Frigga;Rehfeld;03.08.1967
521;Goswin;Klink;26.01.1959
522;Cordian;Brunotte;17.12.1915
523;Christhardt;Goretzki;21.03.1913
524;Edeltraudt;Carstensen;12.07.1961
525;Friedoline;Wegner;28.05.1969
526;Tilla;Golombek;08.06.1940
527;Oswin;Wehrle;22.11.1912
528;Liselore;Bosbach;07.11.2016
529;Oskar;Matthews;10.04.1906
530;Katharina;Noe;13.03.1975
531;Elfy;Rinck;10.12.1996
532;Zeno;Bähre;09.07.1981
533;Kunigunda;Mauermann;12.07.1988
534;Gotthilf;Lichtenberg;22.01.1961
535;Oswald;Rösler;22.02.1923
536;Matis;Knoblich;27.04.1977
537;Volkard;Kost;28.04.1930
538;Carl;Weser;28.03.1952
539;Freddy;Feyerabend;15.03.1915
540;Hellmut;Kretschmer;02.09.1982
541;Florentius;Scheu;03.03.1956
542;Barbli;Ehrig;22.09.2005
543;Meinrad;Siepe;08.11.1942
544;Agathe;Luft;01.03.1962
545;Kuno;Kroner;19.11.1950
546;Lotti;Zell;20.08.1926
547;Andre;Hund;03.02.1932
548;Kristian;Stenger;21.05.1947
549;Leah;Nonn;05.11.1939
550;Lilli;Schellhorn;13.11.1970
551;Tankred;Schemmel;25.06.1964
552;Steffen;Gebhart;25.10.2006
553;Siegmar;Allen;21.09.1940
554;Friedewald;Stadelmann;01.01.2000
555;Bärbel;Andrae;15.10.1904
556;Ottokar;Lueg;24.09.1956
557;Kristof;Siekmann;25.09.2010
558;Pascal;Maass;28.03.2001
559;Hartlieb;Heger;21.05.2016
560;Torben;Lotter;11.05.1909
561;Sieglind;Stolper;20.12.1996
562;Volkard;Saathoff;29.09.1968
563;Sylke;Grüninger;17.10.1997
564;Ingeburg;Meer;10.03.1923
565;Eunike;Wald;21.01.2007
566;Sofia;Welsch;24.09.1949
567;Sylvana;Hempen;04.05.1975
568;Roswita;Witt;26.07.1919
569;Rosie;Zwirner;07.02.1998
570;Friedeborg;Diers;12.05.1949
571;Kaja;Larsen;18.10.1936
572;Helbert;Gensler;10.10.1923
573;Annamarie;Seibert;17.02.1984
574;Hanswolf;Kelle;27.11.1946
575;Ekhardt;Eichenseer;25.12.2000
576;Gordian;Wetzel;29.01.2000
577;Margareth;Peinemann;24.05.1920
578;Ferdinande;Krisch;14.07.2010
579;Nadja;Löb;23.02.1910
580;Ralph;Klimpel;15.06.1982
581;Willehad;Birr;11.07.1910
582;Astrid;Stehle;02.09.2020
583;Hanni;Möckel;23.12.1962
584;Hilgrun;Hemmersbach;28.12.1903
585;Freya;Golling;06.08.1918
586;Rena;Hillers;22.12.1931
587;Otthold;Stelzer;12.05.2005
588;Ole;Celik;30.05.1948
589;Pierre;Becher;18.04.1957
590;Bernhardin;Hansen;25.07.1935
591;Freiwald;Kroll;07.06.1981
592;Heimwald;Gude;09.10.1954
593;Friedemar;Kammerl;01.07.1919
594;Ernst;Raddatz;04.06.1947
595;Justin;Bräunig;29.10.1938
596;Leo;Dicke;11.08.1993
597;Jana;Spengler;05.12.1926
598;Hanshelmut;Gründer;27.07.1968
599;Lenard;Walkowiak;03.06.1989
600;Anneliese;Kelley;07.08.1912
601;Esther;Metz;22.10.1918
602;Gebhart;Wischer;08.02.1940
603;Florentine;Epple;03.11.2013
604;Kätchen;Schwöbel;01.11.1973
605;Karlhans;Moormann;10.07.2009
606;Gaby;Manning;23.03.1921
607;Ishild;Tesche;01.08.1931
608;Kläre;Wernet;05.10.2024
609;Friedemar;Eickmann;28.05.1982
610;Kaja;Zastrow;31.03.1966
611;Inka;Hoss;12.07.1972
612;Balthasar;Keppler;28.08.1916
613;Hildrun;Wittek;28.06.1938
614;Adela;Schrade;12.08.1954
615;Annekäthe;Walsh;19.11.1984
616;Emil;Köhnlein;29.11.1979
617;Marc;Herbig;28.09.1938
618;Hasko;Gehling;28.04.2002
619;Treufried;Küper;24.04.1952
620;Herold;Kunisch;23.03.1949
621;Kjell;Zanker;16.03.1907
622;Iris;Tischler;30.11.2023
623;Laurens;Rothmund;02.09.2000
624;Lisanne;Andreas;12.04.1908
625;Adelheide;Tost;30.06.2000
626;Gerritdina;Streich;15.07.1962
627;Marcus;Korsch;29.03.1955
628;Remigius;Fellner;26.06.1987
629;Helmut;Neher;28.06.1958
630;Marzel;Stute;18.06.1960
631;Hartmut;Seiffert;22.04.1975
632;Annehild;Humpert;03.02.1938
633;Gerdhild;Prothmann;14.12.2024
634;Hansdieter;Leitz;10.04.1903
635;Randolf;Haun;30.04.2005
636;Schwanhild;Seeger;02.01.2014
637;Caren;Seeger;17.11.1989
638;Wiltrud;Ling;08.07.1970
639;Janina;Linner;09.02.1992
640;Clotilde;Tiedt;29.09.1918
641;Svea;Giesa;12.01.1962
642;Elias;Röck;18.04.2012
643;Karlheiner;Schindele;11.07.1939
644;Elgard;Siems;06.05.1942
645;Laurin;Ramin;03.11.1967
646;Goldina;Plischke;16.01.1922
647;Aribert;Klever;17.07.1966
648;Markwart;Knittel;07.04.2014
649;Eckardt;Luthardt;08.09.1940
650;Arved;Matic;05.11.1924
651;Reinhardine;Illig;25.02.2003
652;Immanuel;Kilger;26.09.1971
653;Eddi;Gatz;11.05.1988
654;Ermenhild;Stade;01.10.1943
655;Martin;Ide;20.10.1930
656;Susann;Hugo;12.04.2025
657;Zoe;Macke;27.07.2000
658;Corina;Copeland;07.07.1976
659;Bernhardt;Koschinski;11.05.1941
660;Dennis;Wunderlich;19.02.2011
661;Herko;Rudolf;16.02.1937
662;Helene;Knipping;29.07.1948
663;Paul;Wilts;04.08.1907
664;Mathias;Bockholt;04.01.1957
665;Hermelinde;Winters;19.04.2025
666;Isedore;Frazier;25.01.1981
667;Eduard;Burkhardt;16.11.1933
668;Emre;Timpe;02.07.1910
669;Heimar;Menzel;01.11.1993
670;Frithjof;Mehling;30.03.1956
671;Beate;Wachsmuth;19.09.2011
672;Willmar;Lohmüller;25.12.1988
673;Joana;Schamberger;22.08.1971
674;Emeram;Hüter;14.04.2016
675;Birgitta;Barber;30.10.1986
676;Kurt;Heun;22.03.1953
677;Caspar;Mönnich;29.05.1977
678;Janin;Michl;29.07.2015
679;Loisl;Zingler;08.04.2006
680;Nicole;Deiters;08.06.1962
681;Odilo;Merle;28.10.1994
682;Willibert;Dudek;18.05.1978
683;Rico;Klingelhöfer;13.11.2022
684;Gerdfried;Nägele;14.01.1986
685;Stella;Liebetrau;07.04.1998
686;Karlfrieder;Plümer;01.06.1932
687;Torsten;Neidhardt;11.08.1944
688;Friedrun;Rogge;10.08.1945
689;Fini;Dworschak;18.01.1999
690;Willibald;Rödel;03.05.1956
691;Othmar;Klemp;08.12.1906
692;Christiane;Hund;20.10.2021
693;Kai;Miersch;21.02.1966
694;Hieronimus;Köhn;03.09.1977
695;Zenzi;Sepp;14.06.2018
696;Friedbert;Fäth;06.08.1980
697;Emmely;Aumüller;13.06.1932
698;Ronald;Welsch;22.09.1972
699;Michaela;Schanz;21.04.1937
700;Ingetraut;Hutter;10.02.1912
701;Friedewald;Glaab;13.08.1993
702;Huldine;Bruchmann;22.08.1917
703;Matilda;Mertens;15.06.1921
704;Annebärbel;Zeller;20.05.1904
705;Burkard;Rost;04.11.1997
706;Lydia;Redemann;29.04.1980
707;Gernulf;Stieber;09.07.1934
708;Notfried;Schmal;21.04.1904
709;Adelfried;Freigang;23.10.1957
710;Walti;Obermeier;01.08.1960
711;Alfinus;Rauber;13.04.2019
